"iter";"num_air";"num_mach";"num_brig";"num_per";"status";"select_air";"select_mach";"select_brig";"cost";"res_cost";"fire_cost";"feas_time";"infeas_time";"total_time"
1;5;5;5;20;"OPTIMAL";2;2;1;1142378;736550;405828;1,9140567779541;0;1,9140567779541
2;5;5;5;20;"OPTIMAL";3;0;3;864953;785670;79283;8,67708206176758;0;8,67708206176758
3;5;5;5;20;"OPTIMAL";2;1;1;1089625;657700;431925;1,47916793823242;0;1,47916793823242
4;5;5;5;20;"INFEASIBLE";0;1;3;201750;116880;84870;0,360626220703125;0,301387786865234;0,662014007568359
5;5;5;5;20;"INFEASIBLE";2;3;4;1639788;1182200;457588;0,48261833190918;2,19921493530273;2,68183326721191
6;5;5;5;20;"OPTIMAL";2;4;1;979794;855330;124464;2,73946762084961;0;2,73946762084961
7;5;5;5;20;"OPTIMAL";2;1;1;480074;421250;58824;0,451045989990234;0;0,451045989990234
8;5;5;5;20;"OPTIMAL";3;0;2;983213;896580;86633;2,74360656738281;0;2,74360656738281
9;5;5;5;20;"OPTIMAL";3;0;0;593663;547200;46463;0,678112030029297;0;0,678112030029297
10;5;5;5;20;"INFEASIBLE";3;3;5;2400542;1778600;621942;0,316555023193359;2,5472354888916;2,86379051208496
11;5;5;5;20;"OPTIMAL";3;0;0;914116;624000;290116;1,77448654174805;0;1,77448654174805
12;5;5;5;20;"OPTIMAL";1;2;3;615970;437520;178450;2,03891372680664;0;2,03891372680664
13;5;5;5;20;"OPTIMAL";1;3;3;652197;508280;143917;36,0737705230713;0;36,0737705230713
14;5;5;5;20;"OPTIMAL";2;1;2;778667;472640;306027;2,00235366821289;0;2,00235366821289
15;5;5;5;20;"INFEASIBLE";3;2;5;2117481;1547000;570481;0,315563201904297;2,04788970947266;2,36345291137695
16;5;5;5;20;"OPTIMAL";1;1;2;378945;267990;110955;1,55524063110352;0;1,55524063110352
17;5;5;5;20;"OPTIMAL";3;2;2;1314071;829440;484631;3,50958061218262;0;3,50958061218262
18;5;5;5;20;"OPTIMAL";2;2;3;1284211;794740;489471;6,52698135375977;0;6,52698135375977
19;5;5;5;20;"INFEASIBLE";3;3;5;2495989;2105000;390989;16,0707035064697;2,72696685791016;18,7976703643799
20;5;5;5;20;"OPTIMAL";2;1;2;645081;530540;114541;2,44313049316406;0;2,44313049316406
21;5;5;5;20;"OPTIMAL";3;0;3;1178634;861840;316794;3,02173614501953;0;3,02173614501953
22;5;5;5;20;"OPTIMAL";3;1;1;1291776;1162670;129106;5,50370407104492;0;5,50370407104492
23;5;5;5;20;"OPTIMAL";3;0;0;742873;681600;61273;1,92208862304688;0;1,92208862304688
24;5;5;5;20;"OPTIMAL";2;0;3;620843;518010;102833;2,17581176757812;0;2,17581176757812
25;5;5;5;20;"INFEASIBLE";3;3;5;2776934;2084070;692864;8,33926391601562;2,36458206176758;10,7038459777832
26;5;5;5;20;"OPTIMAL";2;2;1;732434;380880;351554;2,07855033874512;0;2,07855033874512
27;5;5;5;20;"OPTIMAL";2;1;1;516870;282950;233920;1,18168067932129;0;1,18168067932129
28;5;5;5;20;"INFEASIBLE";1;3;5;1257743;839880;417863;5,9499626159668;1,55018043518066;7,50014305114746
29;5;5;5;20;"INFEASIBLE";0;4;2;270160;187920;82240;0,352851867675781;0,631555557250977;0,984407424926758
30;5;5;5;20;"OPTIMAL";3;0;2;1034105;936240;97865;5,16835594177246;0;5,16835594177246
31;5;5;5;20;"INFEASIBLE";4;1;4;3076380;2586600;489780;0,879064559936523;1,39136505126953;2,27042961120605
32;5;5;5;20;"INFEASIBLE";0;1;2;176262;77590;98672;0,341951370239258;0,597515106201172;0,93946647644043
33;5;5;5;20;"INFEASIBLE";0;2;3;248711;173600;75111;0,384223937988281;0,323637008666992;0,707860946655273
34;5;5;5;20;"INFEASIBLE";4;1;4;2461176;1893200;567976;0,283212661743164;2,17120361328125;2,45441627502441
35;5;5;5;20;"OPTIMAL";3;1;2;1539274;1153470;385804;10,375524520874;0;10,375524520874
36;5;5;5;20;"OPTIMAL";2;1;2;605105;386850;218255;1,07037544250488;0;1,07037544250488
37;5;5;5;20;"INFEASIBLE";1;2;4;1503731;544970;958761;0,869180679321289;0,414854049682617;1,28403472900391
38;5;5;5;20;"OPTIMAL";2;0;3;719848;594260;125588;3,6742057800293;0;3,6742057800293
39;5;5;5;20;"OPTIMAL";2;0;1;370304;307240;63064;0,459877014160156;0;0,459877014160156
40;5;5;5;20;"OPTIMAL";2;0;3;700366;433970;266396;0,78814697265625;0;0,78814697265625
41;5;5;5;20;"OPTIMAL";3;2;1;1365626;1219020;146606;2,79612922668457;0;2,79612922668457
42;5;5;5;20;"OPTIMAL";3;2;3;2389017;1733890;655127;11,8163833618164;0;11,8163833618164
43;5;5;5;20;"INFEASIBLE";5;3;5;3413810;2970380;443430;8,97173500061035;5,00412750244141;13,9758625030518
44;5;5;5;20;"OPTIMAL";2;0;2;687352;547360;139992;5,17323684692383;0;5,17323684692383
45;5;5;5;20;"INFEASIBLE";2;4;5;1799404;1235110;564294;0,353208541870117;1,18171882629395;1,53492736816406
46;5;5;5;20;"OPTIMAL";2;3;3;1210674;644120;566554;19,2573795318604;0;19,2573795318604
47;5;5;5;20;"OPTIMAL";2;1;3;898442;692140;206302;2,96473121643066;0;2,96473121643066
48;5;5;5;20;"INFEASIBLE";1;3;5;1584202;901380;682822;0,750133514404297;1,99316787719727;2,74330139160156
49;5;5;5;20;"INFEASIBLE";2;2;5;2107834;1445570;662264;0,351036071777344;1,67172050476074;2,02275657653809
50;5;5;5;20;"OPTIMAL";3;3;2;1935041;1221560;713481;22,0119342803955;0;22,0119342803955
1;5;5;5;30;"OPTIMAL";2;1;3;1167249;922930;244319;23,5347118377686;0;23,5347118377686
2;5;5;5;30;"OPTIMAL";2;1;3;1694698;1344190;350508;101,787593841553;0;101,787593841553
3;5;5;5;30;"OPTIMAL";1;1;1;1721471;788610;932861;43,132453918457;0;43,132453918457
4;5;5;5;30;"INFEASIBLE";1;1;5;2375883;1176880;1199003;18,6202125549316;6,1284294128418;24,7486419677734
5;5;5;5;30;"INFEASIBLE";3;3;5;3876499;2864620;1011879;0,903654098510742;5,78441047668457;6,68806457519531
6;5;5;5;30;"OPTIMAL";2;1;3;2501385;1544440;956945;54,3400802612305;0;54,3400802612305
7;5;5;5;30;"INFEASIBLE";4;2;5;4267380;3340500;926880;3,73742485046387;14,9866847991943;18,7241096496582
8;5;5;5;30;"OPTIMAL";2;1;4;2385828;1503540;882288;39,1055393218994;0;39,1055393218994
9;5;5;5;30;"INFEASIBLE";3;3;4;3770836;2834100;936736;1,82778549194336;6,27259826660156;8,10038375854492
10;5;5;5;30;"OPTIMAL";1;1;3;1203173;961740;241433;20,322338104248;0;20,322338104248
11;5;5;5;30;"INFEASIBLE";2;2;5;2894180;2034520;859660;2,92841339111328;3,3218936920166;6,25030708312988
12;5;5;5;30;"OPTIMAL";4;0;3;2105943;1970960;134983;128,241931915283;0;128,241931915283
13;5;5;5;30;"OPTIMAL";3;0;2;1422833;938640;484193;4,63350296020508;0;4,63350296020508
14;5;5;5;30;"INFEASIBLE";5;2;4;5022247;4452300;569947;94,6176891326904;17,9535789489746;112,571268081665
15;5;5;5;30;"OPTIMAL";2;2;4;1121625;950850;170775;139,586669921875;0;139,586669921875
16;5;5;5;30;"INFEASIBLE";0;3;2;365875;224610;141265;0,896368026733398;1,11196708679199;2,00833511352539
17;5;5;5;30;"INFEASIBLE";4;1;3;4473108;3575400;897708;2,15658378601074;7,21278762817383;9,36937141418457
18;5;5;5;30;"OPTIMAL";4;0;2;1706315;1353800;352515;12,1317729949951;0;12,1317729949951
19;5;5;5;30;"INFEASIBLE";0;1;4;399050;255220;143830;0,824636459350586;1,30596733093262;2,1306037902832
20;5;5;5;30;"OPTIMAL";3;2;1;1799150;1642400;156750;242,749137878418;0;242,749137878418
21;5;5;5;30;"OPTIMAL";1;1;4;1193991;880920;313071;14,9463768005371;0;14,9463768005371
22;5;5;5;30;"OPTIMAL";4;1;3;1997379;1563690;433689;16,1798152923584;0;16,1798152923584
23;5;5;5;30;"OPTIMAL";3;0;3;3196911;2369480;827431;32,6940631866455;0;32,6940631866455
24;5;5;5;30;"OPTIMAL";2;0;2;1196871;752580;444291;17,5668315887451;0;17,5668315887451
25;5;5;5;30;"INFEASIBLE";2;3;4;2172137;1984850;187287;15,2693881988525;5,74696350097656;21,0163516998291
