"iter";"num_air";"num_mach";"num_brig";"num_per";"status";"select_air";"select_mach";"select_brig";"cost";"res_cost";"fire_cost";"feas_time";"infeas_time";"total_time"
1;5;5;5;10;"OPTIMAL";2;2;2;774961;470490;304471;0.543098449707031;0;0.543098449707031
2;5;5;5;10;"OPTIMAL";2;2;2;497742;422860;74882;0.47783088684082;0;0.47783088684082
3;5;5;5;10;"OPTIMAL";3;1;1;985612;618080;367532;0.195037841796875;0;0.195037841796875
4;5;5;5;10;"INFEASIBLE";0;0;3;72443;39820;32623;0.0661392211914062;0.0593128204345703;0.125452041625977
5;5;5;5;10;"INFEASIBLE";2;3;4;829915;602200;227715;0.0939445495605469;0.0761089324951172;0.170053482055664
6;5;5;5;10;"OPTIMAL";2;3;1;486273;422070;64203;0.374500274658203;0;0.374500274658203
7;5;5;5;10;"OPTIMAL";3;0;1;493438;451240;42198;0.816511154174805;0;0.816511154174805
8;5;5;5;10;"OPTIMAL";2;1;1;589433;518080;71353;0.373977661132812;0;0.373977661132812
9;5;5;5;10;"OPTIMAL";3;0;0;465534;424800;40734;0.319850921630859;0;0.319850921630859
10;5;5;5;10;"INFEASIBLE";2;2;5;1044630;723000;321630;0.0861949920654297;0.0820255279541016;0.168220520019531
11;5;5;5;10;"OPTIMAL";3;0;0;591736;415200;176536;0.140283584594727;0;0.140283584594727
12;5;5;5;10;"OPTIMAL";1;2;3;461732;325200;136532;0.484207153320312;0;0.484207153320312
13;5;5;5;10;"INFEASIBLE";0;3;3;164150;92990;71160;0.0846366882324219;0.117288589477539;0.201925277709961
14;5;5;5;10;"OPTIMAL";2;1;1;510443;325240;185203;0.114601135253906;0;0.114601135253906
15;5;5;5;10;"INFEASIBLE";4;2;5;1592784;1301500;291284;0.03338623046875;0.0684947967529297;0.10188102722168
16;5;5;5;10;"OPTIMAL";1;1;2;336152;233820;102332;0.290496826171875;0;0.290496826171875
17;5;5;5;10;"OPTIMAL";2;2;3;753237;408030;345207;0.761541366577148;0;0.761541366577148
18;5;5;5;10;"OPTIMAL";1;2;3;756538;362940;393598;0.549470901489258;0;0.549470901489258
19;5;5;5;10;"OPTIMAL";3;1;4;1108078;935310;172768;0.660690307617188;0;0.660690307617188
20;5;5;5;10;"OPTIMAL";2;1;2;485572;398500;87072;0.556873321533203;0;0.556873321533203
21;5;5;5;10;"OPTIMAL";3;0;3;704730;514940;189790;0.365322113037109;0;0.365322113037109
22;5;5;5;10;"INFEASIBLE";0;1;4;156428;87400;69028;0.0908279418945312;0.0922431945800781;0.183071136474609
23;5;5;5;10;"OPTIMAL";3;0;0;520552;475200;45352;0.550390243530273;0;0.550390243530273
24;5;5;5;10;"OPTIMAL";2;1;2;542308;447100;95208;0.331504821777344;0;0.331504821777344
25;5;5;5;10;"INFEASIBLE";3;3;5;1405854;1050000;355854;0.108659744262695;0.0631732940673828;0.171833038330078
26;5;5;5;10;"OPTIMAL";2;2;1;587674;307860;279814;0.370969772338867;0;0.370969772338867
27;5;5;5;10;"INFEASIBLE";0;2;5;623084;116880;506204;0.0974941253662109;0.0826816558837891;0.18017578125
28;5;5;5;10;"INFEASIBLE";2;3;5;944199;740500;203699;0.101238250732422;0.0650844573974609;0.166322708129883
29;5;5;5;10;"INFEASIBLE";0;4;2;126517;97640;28877;0.0917568206787109;0.147529602050781;0.239286422729492
30;5;5;5;10;"OPTIMAL";3;0;2;691444;624160;67284;0.411825180053711;0;0.411825180053711
31;5;5;5;10;"INFEASIBLE";5;1;4;1854227;1610730;243497;0.0976104736328125;0.103054046630859;0.200664520263672
32;5;5;5;10;"INFEASIBLE";0;1;1;61820;25100;36720;0.0858669281005859;0.0710277557373047;0.156894683837891
33;5;5;5;10;"INFEASIBLE";0;2;2;83512;56150;27362;0.0822029113769531;0.0667800903320312;0.148983001708984
34;5;5;5;10;"INFEASIBLE";4;1;4;1606688;1311400;295288;0.0828685760498047;0.0501270294189453;0.13299560546875
35;5;5;5;10;"OPTIMAL";3;1;2;893615;670620;222995;0.422277450561523;0;0.422277450561523
36;5;5;5;10;"OPTIMAL";2;1;2;508056;321480;186576;0.124462127685547;0;0.124462127685547
37;5;5;5;10;"INFEASIBLE";0;1;4;576122;81970;494152;0.0913581848144531;0.0765933990478516;0.167951583862305
38;5;5;5;10;"OPTIMAL";2;0;0;492138;403200;88938;0.37660026550293;0;0.37660026550293
39;5;5;5;10;"OPTIMAL";2;0;1;375924;307240;68684;0.298177719116211;0;0.298177719116211
40;5;5;5;10;"OPTIMAL";2;0;3;581685;342140;239545;0.156232833862305;0;0.156232833862305
41;5;5;5;10;"INFEASIBLE";0;2;0;100391;30000;70391;0.105579376220703;0.0439472198486328;0.149526596069336
42;5;5;5;10;"OPTIMAL";2;2;3;908694;627420;281274;0.786140441894531;0;0.786140441894531
43;5;5;5;10;"OPTIMAL";3;2;2;1045089;872330;172759;1.13910102844238;0;1.13910102844238
44;5;5;5;10;"OPTIMAL";2;0;1;471434;385260;86174;0.943893432617188;0;0.943893432617188
45;5;5;5;10;"INFEASIBLE";3;4;5;1203920;916060;287860;0.0239200592041016;0.112575531005859;0.136495590209961
46;5;5;5;10;"OPTIMAL";2;1;3;647213;393750;253463;0.898727416992188;0;0.898727416992188
47;5;5;5;10;"OPTIMAL";2;1;3;769378;590200;179178;0.362819671630859;0;0.362819671630859
48;5;5;5;10;"INFEASIBLE";2;0;5;1041185;690500;350685;0.0842647552490234;0.087860107421875;0.172124862670898
49;5;5;5;10;"INFEASIBLE";4;2;5;1679412;1338640;340772;0.0826740264892578;0.0798721313476562;0.162546157836914
50;5;5;5;10;"OPTIMAL";2;1;2;932535;604560;327975;0.805234909057617;0;0.805234909057617
51;5;5;5;10;"OPTIMAL";2;0;3;495634;397930;97704;0.264448165893555;0;0.264448165893555
52;5;5;5;10;"OPTIMAL";3;1;3;914267;745590;168677;0.411191940307617;0;0.411191940307617
53;5;5;5;10;"OPTIMAL";2;1;1;957306;582650;374656;0.146793365478516;0;0.146793365478516
54;5;5;5;10;"INFEASIBLE";3;1;4;1281482;855400;426082;0.0987625122070312;0.128786087036133;0.227548599243164
55;5;5;5;10;"INFEASIBLE";2;3;5;1093589;736880;356709;0.0757408142089844;0.178062438964844;0.253803253173828
